,name,start,end,size
30,1e5.duckdb,0,16384,16384
31,1e5.duckdb,16384,81920,65536
32,1e5.duckdb,81920,344064,262144
37,2e5.duckdb,0,16384,16384
40,1e5-idx.duckdb,0,16384,16384
42,2e5-idx.duckdb,0,16384,16384
43,2e5.duckdb,10223616,10240000,16384
44,2e5.duckdb,10240000,10305536,65536
45,1e5-idx.duckdb,5767168,5783552,16384
46,2e5-idx.duckdb,10485760,10502144,16384
50,2e5.duckdb,10305536,10498048,192512
51,1e5-idx.duckdb,5783552,5849088,65536
55,5e5-idx.duckdb,0,16384,16384
59,5e5.duckdb,0,16384,16384
62,1e6.duckdb,0,16384,16384
69,2e5-idx.duckdb,10502144,10567680,65536
71,2e6.duckdb,0,16384,16384
72,2e6-idx.duckdb,0,16384,16384
73,4e6.duckdb,0,16384,16384
76,4e6-idx.duckdb,0,16384,16384
77,1e6-idx.duckdb,0,16384,16384
78,1e5-idx.duckdb,5849088,6111232,262144
80,6e6.duckdb,0,16384,16384
81,6e6-idx.duckdb,0,16384,16384
82,5e5.duckdb,25690112,25706496,16384
83,1e5-idx.duckdb,16384,81920,65536
84,5e5-idx.duckdb,25427968,25444352,16384
85,1e6.duckdb,50855936,50872320,16384
86,1e6-idx.duckdb,50855936,50872320,16384
87,4e6.duckdb,219414528,219430912,16384
88,4e6-idx.duckdb,219414528,219430912,16384
89,2e6-idx.duckdb,107479040,107495424,16384
90,1e6.duckdb,50872320,50937856,65536
91,2e6.duckdb,106430464,106446848,16384
92,5e5.duckdb,25706496,25772032,65536
93,1e5-idx.duckdb,81920,344064,262144
94,6e6.duckdb,332660736,332677120,16384
95,6e6-idx.duckdb,335544320,335560704,16384
96,5e5-idx.duckdb,25444352,25509888,65536
98,4e6.duckdb,219430912,219496448,65536
99,1e6.duckdb,50937856,51130368,192512
100,2e6-idx.duckdb,107495424,107560960,65536
101,5e5.duckdb,25772032,25964544,192512
103,2e5-idx.duckdb,10567680,10829824,262144
104,1e6-idx.duckdb,50872320,50937856,65536
105,4e6.duckdb,219496448,219688960,192512
106,6e6.duckdb,332677120,332742656,65536
107,2e6-idx.duckdb,107560960,107823104,262144
109,5e5-idx.duckdb,25509888,25772032,262144
110,1e6-idx.duckdb,50937856,51200000,262144
111,4e6.duckdb,219152384,219168768,16384
112,4e6-idx.duckdb,219430912,219496448,65536
113,2e6.duckdb,106446848,106512384,65536
114,4e6.duckdb,219168768,219234304,65536
115,6e6-idx.duckdb,335560704,335626240,65536
116,6e6.duckdb,332742656,332935168,192512
117,4e6.duckdb,219234304,219496448,262144
118,1e6-idx.duckdb,50593792,50610176,16384
119,2e6-idx.duckdb,107216896,107233280,16384
121,6e6.duckdb,332136448,332152832,16384
122,2e6-idx.duckdb,107233280,107298816,65536
123,4e6-idx.duckdb,219496448,219758592,262144
124,1e6-idx.duckdb,50610176,50675712,65536
125,6e6.duckdb,332152832,332218368,65536
126,2e6-idx.duckdb,107298816,107560960,262144
127,6e6-idx.duckdb,335626240,335888384,262144
128,1e6-idx.duckdb,50675712,50937856,262144
129,5e5-idx.duckdb,25165824,25182208,16384
130,6e6.duckdb,332218368,332480512,262144
131,2e6.duckdb,106512384,106704896,192512
133,6e6-idx.duckdb,335020032,335036416,16384
134,4e6-idx.duckdb,218890240,218906624,16384
135,6e6.duckdb,332480512,332935168,454656
136,2e5-idx.duckdb,10223616,10240000,16384
137,5e5-idx.duckdb,25182208,25247744,65536
139,4e6-idx.duckdb,218906624,218972160,65536
141,4e6-idx.duckdb,218972160,219234304,262144
142,2e6.duckdb,106168320,106184704,16384
143,2e5-idx.duckdb,10240000,10305536,65536
144,2e6.duckdb,106184704,106250240,65536
145,4e6-idx.duckdb,219234304,220282880,1048576
146,2e6.duckdb,106250240,106512384,262144
147,2e5-idx.duckdb,10305536,10567680,262144
148,5e5-idx.duckdb,25247744,25509888,262144
149,6e6-idx.duckdb,335036416,335101952,65536
151,6e6-idx.duckdb,335101952,335364096,262144
154,6e6-idx.duckdb,335364096,336412672,1048576
