name,fetched,fetched_iec,size,size_iec,nrows,indexed,max,min,num
1e5.duckdb,5517312,5.5 MB,5517312,5.5 MB,100000,False,4124672,16384,5
1e5-idx.duckdb,7434240,7.4 MB,7090176,7.1 MB,100000,True,4194304,16384,9
2e5.duckdb,13185024,13.2 MB,10498048,10.5 MB,200000,False,4194304,16384,20
2e5-idx.duckdb,13598720,13.6 MB,12595200,12.6 MB,200000,True,4194304,16384,23
5e5.duckdb,12480512,12.5 MB,25964544,26.0 MB,500000,False,4194304,16384,22
5e5-idx.duckdb,13942784,13.9 MB,30158848,30.2 MB,500000,True,4194304,16384,26
1e6.duckdb,12136448,12.1 MB,51130368,51.1 MB,1000000,False,4194304,16384,19
1e6-idx.duckdb,13942784,13.9 MB,59518976,59.5 MB,1000000,True,4194304,16384,26
2e6.duckdb,13529088,13.5 MB,106704896,106.7 MB,2000000,False,4194304,16384,23
2e6-idx.duckdb,12550144,12.6 MB,124006400,124.0 MB,2000000,True,4194304,16384,22
4e6.duckdb,9678848,9.7 MB,219688960,219.7 MB,4000000,False,4194304,16384,25
4e6-idx.duckdb,14991360,15.0 MB,252456960,252.5 MB,4000000,True,4194304,16384,27
6e6.duckdb,13983744,14.0 MB,332935168,332.9 MB,6000000,False,4194304,16384,24
6e6-idx.duckdb,14647296,14.6 MB,384577536,384.6 MB,6000000,True,4194304,16384,24
